"","Entity","Code","Year","source","energy_twh","rank","energy_prop","energy_prop_cum","energy_prop_pos"
"1","World","OWID_WRL",1990,"coal",4460.2417,1,0.37868940594985,0.37868940594985,0.189344702974925
"2","World","OWID_WRL",1990,"hydro",2158.854,2,0.183293909563793,0.561983315513643,0.470336360731747
"3","World","OWID_WRL",1990,"nuclear",2000.596,3,0.169857277193217,0.731840592706861,0.646911954110252
"4","World","OWID_WRL",1990,"gas",1789.7031,4,0.151951766148818,0.883792358855679,0.80781647578127
"5","World","OWID_WRL",1990,"oil",1364.6844,5,0.115866260060532,0.99965861891621,0.941725488885944
"6","World","OWID_WRL",1990,"wind",3.6324706,6,0.000308408876954874,0.999967027793165,0.999812823354688
"7","World","OWID_WRL",1990,"solar",0.38834995,7,3.29722068349242e-05,1,0.999983513896583
"8","World","OWID_WRL",1990,"other_renewables",0,8,0,1,1
"9","World","OWID_WRL",1990,"bioenergy",0,9,0,1,1
"10","World","OWID_WRL",1991,"coal",4557.0664,1,0.378751175802916,0.378751175802916,0.189375587901458
"11","World","OWID_WRL",1991,"hydro",2208.702,2,0.183571711726266,0.562322887529183,0.47053703166605
"12","World","OWID_WRL",1991,"nuclear",2096.3098,3,0.174230465809578,0.736553353338761,0.649438120433972
"13","World","OWID_WRL",1991,"gas",1815.2444,4,0.150870294729447,0.887423648068208,0.811988500703484
"14","World","OWID_WRL",1991,"oil",1349.9071,5,0.112194744704555,0.999618392772762,0.943521020420485
"15","World","OWID_WRL",1991,"wind",4.086107,6,0.000339608356530975,0.999958001129293,0.999788196951028
"16","World","OWID_WRL",1991,"solar",0.5053229,7,4.19988707066326e-05,1,0.999979000564647
"17","World","OWID_WRL",1991,"other_renewables",0,8,0,1,1
"18","World","OWID_WRL",1991,"bioenergy",0,9,0,1,1
"19","World","OWID_WRL",1992,"coal",4649.9165,1,0.383232729919744,0.383232729919744,0.191616364959872
"20","World","OWID_WRL",1992,"hydro",2208.4592,2,0.182014848682202,0.565247578601946,0.474240154260845
"21","World","OWID_WRL",1992,"nuclear",2112.223,3,0.174083338160862,0.739330916762808,0.652289247682377
"22","World","OWID_WRL",1992,"gas",1829.3868,4,0.150772792897065,0.890103709659873,0.81471731321134
"23","World","OWID_WRL",1992,"oil",1328.2163,5,0.109467763254007,0.99957147291388,0.944837591286876
"24","World","OWID_WRL",1992,"wind",4.732812,6,0.000390064738357543,0.999961537652237,0.999766505283059
"25","World","OWID_WRL",1992,"solar",0.4666791,7,3.8462347762479e-05,1,0.999980768826119
"26","World","OWID_WRL",1992,"other_renewables",0,8,0,1,1
"27","World","OWID_WRL",1992,"bioenergy",0,9,0,1,1
"28","World","OWID_WRL",1993,"coal",4727.899,1,0.381558655236346,0.381558655236346,0.190779327618173
"29","World","OWID_WRL",1993,"hydro",2341.4597,2,0.188964318912502,0.570522974148847,0.476040814692597
"30","World","OWID_WRL",1993,"nuclear",2184.9646,3,0.176334594820029,0.746857568968876,0.658690271558862
"31","World","OWID_WRL",1993,"gas",1863.8153,4,0.1504166775722,0.897274246541076,0.822065907754976
"32","World","OWID_WRL",1993,"oil",1266.6155,5,0.102220480361681,0.999494726902757,0.948384486721917
"33","World","OWID_WRL",1993,"wind",5.704169,6,0.00046034719711247,0.99995507409987,0.999724900501313
"34","World","OWID_WRL",1993,"solar",0.5566775,7,4.49259001303393e-05,1,0.999977537049935
"35","World","OWID_WRL",1993,"other_renewables",0,8,0,1,1
"36","World","OWID_WRL",1993,"bioenergy",0,9,0,1,1
"37","World","OWID_WRL",1994,"coal",4891.904,1,0.384915503883607,0.384915503883607,0.192457751941803
"38","World","OWID_WRL",1994,"hydro",2356.203,2,0.185395924571918,0.570311428455525,0.477613466169566
"39","World","OWID_WRL",1994,"nuclear",2225.9788,3,0.175149338874235,0.745460767329761,0.657886097892643
"40","World","OWID_WRL",1994,"gas",1925.1002,4,0.151474949939621,0.896935717269382,0.821198242299571
"41","World","OWID_WRL",1994,"oil",1302.1187,5,0.102456155216204,0.999391872485585,0.948163794877483
"42","World","OWID_WRL",1994,"wind",7.13173,6,0.000561154398473853,0.999953026884059,0.999672449684822
"43","World","OWID_WRL",1994,"solar",0.5969829,7,4.69731159408273e-05,1,0.99997651344203
"44","World","OWID_WRL",1994,"other_renewables",0,8,0,1,1
"45","World","OWID_WRL",1994,"bioenergy",0,9,0,1,1
"46","World","OWID_WRL",1995,"coal",5038.9316,1,0.383177452449242,0.383177452449242,0.191588726224621
"47","World","OWID_WRL",1995,"hydro",2483.6868,2,0.188867969691394,0.572045422140636,0.477611437294939
"48","World","OWID_WRL",1995,"nuclear",2322.5298,3,0.176613044717941,0.748658466858577,0.660351944499606
"49","World","OWID_WRL",1995,"gas",2036.3821,4,0.1548534029101,0.903511869768677,0.826085168313627
"50","World","OWID_WRL",1995,"oil",1259.9452,5,0.0958105071244964,0.999322376893174,0.951417123330925
