"","Entity","Code","Year","annual_co2_pc","GDP_pc","population","Continent"
"1","Australia","AUS",1990,14.263723,31006.1,17048002,"Oceania"
"2","Australia","AUS",1991,14.118852,30496.127,17271092,"Oceania"
"3","Australia","AUS",1992,14.11306,30285.854,17462500,"Oceania"
"4","Australia","AUS",1993,14.0318775,31232.586,17631514,"Oceania"
"5","Australia","AUS",1994,14.365695,32164.658,17805506,"Oceania"
"6","Australia","AUS",1995,14.520001,33044.844,18003002,"Oceania"
"7","Australia","AUS",1996,14.703377,33905.26,18211850,"Oceania"
"8","Australia","AUS",1997,14.954647,34852.75,18410254,"Oceania"
"9","Australia","AUS",1998,15.831035,36099.023,18601666,"Oceania"
"10","Australia","AUS",1999,15.713442,37475.98,18800892,"Oceania"
"11","Australia","AUS",2000,15.258868,38494.887,19017968,"Oceania"
"12","Australia","AUS",2001,15.528007,38779.6,19248146,"Oceania"
"13","Australia","AUS",2002,16.304628,39872.15,19475842,"Oceania"
"14","Australia","AUS",2003,16.992603,40642.562,19699004,"Oceania"
"15","Australia","AUS",2004,17.291674,41905.85,19925060,"Oceania"
"16","Australia","AUS",2005,17.050724,42704.44,20171732,"Oceania"
"17","Australia","AUS",2006,17.409512,43286.723,20467032,"Oceania"
"18","Australia","AUS",2007,17.677109,44109.668,20830832,"Oceania"
"19","Australia","AUS",2008,17.124224,44777.273,21247876,"Oceania"
"20","Australia","AUS",2009,18.224241,44684.402,21660898,"Oceania"
"21","Australia","AUS",2010,17.97907,44965.395,22019166,"Oceania"
"22","Australia","AUS",2011,17.635864,45405.367,22357032,"Oceania"
"23","Australia","AUS",2012,17.68057,46360.605,22729272,"Oceania"
"24","Australia","AUS",2013,16.465807,46744.625,23111788,"Oceania"
"25","Australia","AUS",2014,16.255693,47240.273,23469578,"Oceania"
"26","Australia","AUS",2015,16.051287,47567.68,23820240,"Oceania"
"27","Australia","AUS",2016,15.392174,48109.203,24195706,"Oceania"
"28","Australia","AUS",2017,15.369246,48400.246,24590336,"Oceania"
"29","Australia","AUS",2018,14.629854,49052.816,24979228,"Oceania"
"30","Australia","AUS",2019,14.309601,49379.094,25357168,"Oceania"
"31","Australia","AUS",2020,13.811205,48747.85,25670052,"Oceania"
"32","China","CHN",1990,2.011824,1423.8964,1153704192,"Asia"
"33","China","CHN",1991,2.051064,1534.7053,1170626176,"Asia"
